                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.87128,                 1.0904,                 1.3123,                0.74322,                0.77925,                0.81446,                0.58188,                0.97331,                0.99375,                 1.6069,               0.067063,              0.0003327,              0.0003327
                      1,                 0.8347,                0.81894,                 1.2878,                0.83297,                0.81753,                0.90491,                0.70096,                0.80568,                0.66881,                  1.431,               0.033997,             0.00060009,             0.00060009
                      2,                0.81729,                 0.7581,                 1.2667,                0.90602,                0.84818,                0.94338,                 0.7373,                0.80709,                0.59924,                  1.431,             0.00086498,             0.00080149,             0.00080149
                      3,                0.80217,                0.68971,                 1.2544,                0.90127,                0.87717,                0.95551,                0.75108,                0.77672,                  0.517,                 1.3709,               0.000703,               0.000703,               0.000703
                      4,                0.79942,                0.64776,                 1.2487,                0.86992,                0.90452,                0.95385,                0.74706,                0.80034,                0.52804,                 1.4089,               0.000703,               0.000703,               0.000703
                      5,                0.76997,                0.61159,                 1.2326,                0.91805,                0.92002,                0.97209,                0.76852,                0.76666,                0.44721,                 1.3767,               0.000604,               0.000604,               0.000604
                      6,                0.77219,                0.58724,                 1.2354,                0.91004,                0.89755,                0.96683,                0.77114,                 0.7442,                0.44897,                 1.3331,               0.000505,               0.000505,               0.000505
                      7,                0.75521,                0.56198,                 1.2175,                  0.918,                0.90712,                0.97379,                0.78257,                0.73723,                0.42633,                 1.3205,               0.000406,               0.000406,               0.000406
                      8,                0.74282,                0.53048,                 1.2091,                0.93696,                0.90438,                0.97314,                0.78887,                0.72443,                0.39909,                 1.3068,               0.000307,               0.000307,               0.000307
                      9,                0.73011,                0.50713,                 1.2058,                0.92435,                0.93681,                0.97745,                0.79313,                0.72335,                0.38239,                 1.3143,               0.000208,               0.000208,               0.000208
