                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.8695,                 1.0961,                 1.3126,                0.68206,                0.59308,                0.69621,                0.47375,                 1.0936,                 1.3357,                 1.6783,               0.067063,              0.0003327,              0.0003327
                      1,                0.83459,                0.81436,                 1.2847,                0.85538,                0.80675,                0.90725,                0.70584,                0.80503,                0.68642,                 1.4181,               0.033997,             0.00060009,             0.00060009
                      2,                0.81165,                0.74283,                 1.2612,                 0.8687,                0.87179,                0.94511,                0.74446,                0.77153,                0.56141,                 1.3727,             0.00086498,             0.00080149,             0.00080149
                      3,                0.80388,                0.69196,                 1.2557,                0.88218,                0.86672,                0.95085,                0.74861,                0.77904,                0.55479,                 1.3816,               0.000703,               0.000703,               0.000703
                      4,                0.79613,                0.64243,                 1.2451,                0.89579,                0.85284,                0.94695,                0.72472,                0.84515,                0.58802,                 1.4543,               0.000703,               0.000703,               0.000703
                      5,                0.77267,                0.61635,                 1.2334,                0.91954,                 0.8789,                0.96734,                0.76653,                0.75721,                0.46745,                 1.3556,               0.000604,               0.000604,               0.000604
                      6,                0.77115,                0.58701,                 1.2335,                0.92187,                0.90001,                0.96823,                0.75797,                0.76648,                0.45628,                 1.3671,               0.000505,               0.000505,               0.000505
                      7,                0.75775,                0.56727,                 1.2192,                0.92901,                0.87947,                0.96733,                0.77736,                0.73855,                0.43502,                 1.3237,               0.000406,               0.000406,               0.000406
                      8,                 0.7412,                0.53294,                 1.2079,                0.92082,                0.92655,                0.97427,                0.78694,                0.72428,                0.39967,                 1.3056,               0.000307,               0.000307,               0.000307
                      9,                 0.7291,                0.50406,                 1.2034,                0.93054,                0.92391,                0.97327,                 0.7861,                0.72742,                0.38819,                 1.3092,               0.000208,               0.000208,               0.000208
