                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91334,                0.98077,                 1.3538,                  0.681,                0.72567,                0.79954,                0.53523,                 1.0413,                 1.2704,                 1.7402,               0.067063,              0.0003327,              0.0003327
                      1,                0.90064,                0.88869,                 1.3451,                0.65494,                0.67242,                0.73355,                0.53341,                0.91985,                 1.2826,                 1.5744,               0.033997,             0.00060009,             0.00060009
                      2,                0.86631,                0.80705,                 1.3099,                0.81614,                0.80874,                0.90044,                0.69882,                0.80847,                0.63678,                 1.4387,             0.00086498,             0.00080149,             0.00080149
                      3,                0.84337,                0.75359,                 1.2888,                0.88679,                0.82541,                 0.9291,                0.72552,                0.79271,                0.57464,                 1.4038,               0.000703,               0.000703,               0.000703
                      4,                0.82919,                0.70795,                 1.2723,                 0.8955,                0.79581,                0.92729,                0.73234,                0.78152,                0.57669,                 1.3868,               0.000703,               0.000703,               0.000703
                      5,                0.79563,                0.66189,                 1.2524,                0.78945,                0.84726,                0.91614,                0.72197,                0.77232,                0.58967,                 1.3857,               0.000604,               0.000604,               0.000604
                      6,                0.78601,                0.62723,                 1.2476,                0.89941,                0.86989,                0.95365,                0.75362,                0.75662,                0.46651,                 1.3549,               0.000505,               0.000505,               0.000505
                      7,                0.76723,                0.58568,                 1.2302,                 0.9149,                0.87619,                0.95552,                0.76734,                0.73852,                0.43053,                 1.3352,               0.000406,               0.000406,               0.000406
                      8,                0.75408,                0.55274,                 1.2208,                0.91651,                0.88722,                0.96632,                0.78135,                0.73023,                0.40863,                 1.3215,               0.000307,               0.000307,               0.000307
                      9,                0.74154,                0.52348,                 1.2153,                0.88629,                0.92643,                0.96815,                0.77965,                 0.7181,                0.37567,                 1.3085,               0.000208,               0.000208,               0.000208
